id,category,question,reference,req1_answer,req2_answer,req3_answer,req4_answer
1,bao_hanh_doi_tra,"Tôi mua đồ chơi tại MyKingdom được 5 ngày thì phát hiện lỗi, có đổi được không?","Bạn hoàn toàn có thể đổi hàng vì còn trong thời hạn 7 ngày kể từ ngày nhận hàng. Điều kiện: sản phẩm chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal nhà sản xuất, mã barcode không bị trầy và có hóa đơn mua hàng hợp lệ. Mang sản phẩm đến bất kỳ cửa hàng MyKingdom nào để được hỗ trợ.","Xin lỗi, nhưng tôi không thể trả lời được câu hỏi của bạn. Theo Chính sách đổi trả hàng hóa của MyKingdom, khách hàng được quyền đổi hoặc trả hàng trong vòng 7 ngày kể từ ngày nhận hàng. Vì bạn đã nhận hàng được 5 ngày, nên bạn không còn trong thời gian đổi trả hàng hóa. Tuy nhiên, bạn có thể liên hệ với tổng đài 1900 1208 hoặc email hotro@mykingdom.com.vn để được hỗ trợ và hướng dẫn tiếp theo.","Chào bạn, EmpathAI là trợ lý ảo và không thể hỗ trợ trực tiếp đổi hàng. Theo chính sách đổi trả của MyKingdom, chỉ áp dụng đổi trả trong vòng 7 ngày kể từ ngày nhận hàng và phải còn nguyên bao bì, tem niêm phong. Trường hợp của bạn đã quá thời hạn này, EmpathAI không thể hỗ trợ đổi trả. Bạn vui lòng liên hệ tổng đài hỗ trợ đổi trả hàng hóa của MyKingdom qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để được nhân viên hỗ trợ tư vấn cụ thể về tình trạng hàng hóa của bạn.","Xin chào quý khách!

Tôi xin lỗi vì sản phẩm của bạn đã phát hiện lỗi sau khi mua. Tuy nhiên, theo chính sách của MyKingdom, thời gian đổi trả hàng hóa là 7 ngày kể từ ngày nhận hàng. Vì vậy, nếu bạn đã mua sản phẩm được 5 ngày, bạn vẫn có thể đổi trả hàng hóa nếu sản phẩm đáp ứng các điều kiện đổi trả như sau:

- Sản phẩm chưa qua sử dụng
- Sản phẩm còn nguyên bao bì, tem nhãn, seal của nhà sản xuất
- Mã barcode trên hộp không bị trầy xước, rách nát
- Cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom

Xin vui lòng mang sản phẩm và hóa đơn mua hàng đến cửa hàng MyKingdom gần nhất để được hỗ trợ đổi trả.

Nếu bạn có bất kỳ câu hỏi nào khác, xin vui lòng liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn.","Chào bạn, EmpathAI có thể hỗ trợ về chính sách đổi trả hàng hóa. Tuy nhiên, căn cứ vào thông tin bạn cung cấp, việc đổi hàng do phát hiện lỗi sau 5 ngày không thuộc vào trường hợp đổi trả theo chính sách của MyKingdom. Chính sách đổi trả chỉ áp dụng trong vòng 7 ngày kể từ ngày nhận hàng và phải còn nguyên bao bì, tem nhãn, seal của nhà sản xuất.

Vui lòng kiểm tra kỹ lưỡng thông tin đổi trả trước khi gửi hàng. Nếu bạn có bất kỳ thắc mắc nào về quy trình đổi trả, bạn có thể liên hệ tổng đài hỗ trợ qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để được tư vấn cụ thể hơn."
2,bao_hanh_doi_tra,Chính sách đổi trả hàng của MyKingdom là bao nhiêu ngày?,"MyKingdom hỗ trợ đổi trả trong vòng 7 ngày kể từ ngày nhận hàng, căn cứ trên hệ thống ghi nhận lúc giao hàng thành công.",Chính sách đổi trả hàng của MyKingdom là 7 ngày kể từ ngày nhận hàng.,"Chào bạn, chính sách đổi trả hàng của MyKingdom cho phép trong vòng 7 ngày kể từ ngày nhận hàng. Điều kiện đổi trả: sản phẩm chưa qua sử dụng, nguyên bao bì, tem nhãn, seal của nhà sản xuất không bị trầy xước, rách nát và cung cấp hóa đơn mua hàng hợp lệ. Mọi trường hợp sản phẩm đã bóc seal, cắt mác, hoặc có dấu hiệu đã sử dụng đều không được hỗ trợ đổi trả theo chính sách này. Bạn có thể liên hệ tổng đài 1900 1208 hoặc email hotro@mykingdom.com.vn để được hỗ trợ thêm thông tin.","Chào bạn!

Theo chính sách của MyKingdom, bạn có thể đổi trả hàng hóa trong vòng 7 ngày kể từ ngày nhận hàng. Để được đổi trả, sản phẩm phải chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal của nhà sản xuất và cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom.

Nếu bạn có bất kỳ câu hỏi nào khác hoặc cần hỗ trợ, xin vui lòng liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn.","Chào bạn, theo chính sách đổi trả hàng hóa của MyKingdom, bạn có thể đổi hoặc trả hàng trong vòng 7 ngày kể từ ngày nhận hàng. Điều kiện bắt buộc để được đổi trả là sản phẩm chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal của nhà sản xuất và cung cấp đầy đủ hóa đơn mua hàng hợp lệ. Mọi trường hợp sản phẩm đã bóc seal, cắt mác, hoặc có dấu hiệu đã sử dụng đều không được hỗ trợ đổi trả. Bạn vui lòng kiểm tra kỹ lưỡng trước khi đổi trả. Nếu có bất kỳ thắc mắc nào, bạn có thể liên hệ tổng đài hỗ trợ 1900 1208 hoặc email hotro@mykingdom.com.vn."
3,bao_hanh_doi_tra,Tôi đã bóc seal sản phẩm rồi thì có được đổi trả không?,"Rất tiếc, sản phẩm đã bóc seal, cắt mác hoặc có dấu hiệu đã sử dụng sẽ không được hỗ trợ đổi trả theo chính sách của MyKingdom.","Xin lỗi, nhưng theo Chính sách đổi trả hàng hóa của MyKingdom, sản phẩm đã bóc seal không được hỗ trợ đổi trả. Để được hỗ trợ đổi trả, sản phẩm phải còn nguyên bao bì, tem nhãn, seal của nhà sản xuất và chưa qua sử dụng.","Chào bạn, EmpathAI là trợ lý ảo và không thể hỗ trợ trực tiếp về việc đổi trả hàng hóa. Tuy nhiên, dựa trên chính sách đổi trả hàng hóa của MyKingdom, việc đổi trả chỉ áp dụng cho sản phẩm chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal của nhà sản xuất. Nếu bạn đã bóc seal, không đủ điều kiện đổi trả theo chính sách này. Bạn vui lòng liên hệ tổng đài hỗ trợ 1900 1208 hoặc email hotro@mykingdom.com.vn để được tư vấn cụ thể hơn về tình trạng của đơn hàng của bạn.","Xin chào! Tôi là EmpathAI, trợ lý CSKH của MyKingdom.

Nếu bạn đã bóc seal sản phẩm, thì tiếc là bạn không được đổi trả sản phẩm theo chính sách của chúng tôi. Điều kiện để được đổi trả sản phẩm là sản phẩm phải còn nguyên bao bì, tem nhãn, seal của nhà sản xuất, và chưa qua sử dụng.

Nếu bạn muốn biết thêm thông tin hoặc cần hỗ trợ, vui lòng liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn. Chúng tôi sẵn sàng hỗ trợ bạn!","Chào bạn, tôi là EmpathAI và tôi có thể hỗ trợ bạn về chính sách đổi trả. Theo chính sách đổi trả hàng hóa của MyKingdom, để được đổi trả, sản phẩm phải còn nguyên bao bì, tem nhãn, seal của nhà sản xuất và chưa qua sử dụng. Tuy nhiên, nếu bạn đã bóc seal sản phẩm thì không đủ điều kiện đổi trả theo chính sách này. Vì vậy, bạn vui lòng liên hệ tổng đài hỗ trợ của chúng tôi qua số 1900 1208 hoặc gửi email về hotro@mykingdom.com.vn để được tư vấn cụ thể về tình trạng của đơn hàng của bạn."
4,bao_hanh_doi_tra,"Sau khi trả hàng, tiền hoàn lại bao lâu thì nhận được?","Thời gian hoàn tiền tùy thuộc vào phương thức thanh toán ban đầu (Thẻ ATM, Visa/Master, COD hoặc Ví điện tử). Tiền được hoàn trực tiếp vào tài khoản ngân hàng hoặc ví điện tử mà khách đã sử dụng để mua hàng.",,"Chào bạn, EmpathAI là trợ lý ảo và không có quyền truy cập vào thông tin tài khoản thanh toán để kiểm tra thời gian hoàn tiền. Tuy nhiên, theo chính sách của chúng tôi, thời gian hoàn tiền sẽ tuỳ thuộc vào phương thức thanh toán ban đầu của bạn. Đối với giao dịch qua ví điện tử, tiền sẽ được hoàn trong vòng 24 giờ. Đối với chuyển khoản ATM nội địa, thường mất từ 3-5 ngày làm việc. Vui lòng liên hệ tổng đài hỗ trợ thanh toán qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để được nhân viên hỗ trợ chi tiết hơn.","Xin chào! Cảm ơn bạn đã quan tâm đến sản phẩm của MyKingdom.

Về câu hỏi của bạn, thời gian nhận được tiền hoàn lại sẽ tùy thuộc vào phương thức thanh toán ban đầu. Dưới đây là thông tin chi tiết:

- Đối với thanh toán Ví điện tử: thường hoàn trong vòng 24 giờ.
- Đối với chuyển khoản ATM nội địa: từ 3-5 ngày làm việc (trừ thứ 7, CN, Lễ).
- Đối với thẻ Credit/Debit quốc tế (Visa/Mastercard): 7-15 ngày làm việc tùy thuộc vào quy định ngân hàng của khách phát hành thẻ.

Nếu bạn cần thêm thông tin hoặc hỗ trợ, vui lòng liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn.","Chào bạn, tôi là EmpathAI và tôi không có quyền truy cập để kiểm tra tình trạng hoàn tiền cho bạn trực tiếp. Theo chính sách của chúng tôi, thời gian hoàn tiền tùy thuộc vào phương thức thanh toán ban đầu. Đối với thanh toán qua thẻ ATM, Visa/Master, tiền sẽ được hoàn trong vòng 7-15 ngày làm việc. Đối với ví điện tử, thường hoàn trong vòng 24 giờ. Vui lòng liên hệ tổng đài hỗ trợ của chúng tôi qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để được nhân viên hỗ trợ kiểm tra và hướng dẫn cụ thể cho trường hợp của bạn."
5,bao_hanh_doi_tra,Sản phẩm lỗi nhà sản xuất được xử lý như thế nào?,"Sản phẩm còn trong thời gian bảo hành, được xác định là lỗi nhà sản xuất sẽ được bảo hành. Khách mang sản phẩm đến bất kỳ cửa hàng MyKingdom nào để kiểm tra và bảo hành miễn phí.","Sản phẩm lỗi nhà sản xuất sẽ được xử lý theo chính sách bảo hành của MyKingdom. Dưới đây là quy trình xử lý:

1. Khách hàng mang sản phẩm lỗi đến cửa hàng MyKingdom gần nhất.
2. Nhân viên cửa hàng sẽ kiểm tra sản phẩm để xác định lỗi nhà sản xuất.
3. Nếu sản phẩm lỗi được xác định, nhân viên sẽ lập phiếu bảo hành và gửi sản phẩm đến nhà sản xuất để được sửa chữa hoặc thay thế.
4. Sau khi sản phẩm được sửa chữa hoặc thay thế, nhân viên sẽ trả lại sản phẩm cho khách hàng.

Lưu ý: Việc xác định lỗi được thực hiện đơn phương bởi cửa hàng MyKingdom.","Chào bạn, EmpathAI là trợ lý ảo và không thể trực tiếp xử lý các vấn đề bảo hành, đổi trả hàng hóa. Để được hỗ trợ về việc xử lý sản phẩm lỗi nhà sản xuất, bạn vui lòng liên hệ tổng đài hỗ trợ kỹ thuật của MyKingdom qua số 1900 1208 hoặc gửi email về hotro@mykingdom.com.vn. Nhân viên hỗ trợ sẽ hướng dẫn bạn về quy trình đổi trả và bảo hành.","Xin chào! Tôi là EmpathAI, trợ lý CSKH của MyKingdom.

Nếu sản phẩm của bạn bị lỗi nhà sản xuất và còn trong thời gian bảo hành, bạn có thể mang sản phẩm đến các cửa hàng MyKingdom trên toàn quốc để được kiểm tra và bảo hành. Chúng tôi sẽ xác định lỗi và thực hiện bảo hành miễn phí cho bạn.

Hãy nhớ mang theo phiếu bảo hành hoặc hóa đơn mua hàng của website MyKingdom để chúng tôi có thể xác minh thông tin bảo hành.

Nếu bạn cần hỗ trợ thêm, hãy liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn. Chúng tôi sẵn sàng hỗ trợ bạn 24/7.","Chào bạn, tôi là EmpathAI và tôi có thể hỗ trợ bạn về chính sách bảo hành và đổi trả. Tuy nhiên, tôi không có quyền truy cập để trực tiếp xác minh và xử lý các yêu cầu bảo hành, đổi trả cho bạn. Nếu sản phẩm của bạn bị lỗi nhà sản xuất và còn trong thời gian bảo hành, bạn vui lòng mang hàng đến trực tiếp bất kỳ cửa hàng MyKingdom gần nhất để được hỗ trợ kiểm tra và đổi trả miễn phí. Bạn có thể liên hệ tổng đài hỗ trợ 1900 1208 để được hướng dẫn cụ thể về địa chỉ cửa hàng gần nhất.

Vui lòng lưu ý, nếu sản phẩm đã qua sử dụng hoặc không còn trong thời gian bảo hành, bạn sẽ không được hỗ trợ đổi trả miễn phí. Bạn có thể tham khảo các chính sách đổi trả khác của chúng tôi."
6,bao_hanh_doi_tra,Điều kiện bắt buộc để được đổi trả hàng tại MyKingdom là gì?,"Để được đổi trả cần đáp ứng 4 điều kiện: (1) Sản phẩm chưa qua sử dụng, (2) Còn nguyên bao bì, tem nhãn, seal nhà sản xuất, (3) Mã barcode không bị trầy xước, rách nát, (4) Có hóa đơn mua hàng hợp lệ tại MyKingdom.",,"Chào bạn, theo chính sách đổi trả của MyKingdom, điều kiện bắt buộc để được đổi trả hàng là: (1) Sản phẩm chưa qua sử dụng. (2) Sản phẩm còn nguyên bao bì, tem nhãn, seal của nhà sản xuất. (3) Mã barcode trên hộp không bị trầy xước, rách nát. (4) Cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom. Mọi trường hợp sản phẩm đã bóc seal, cắt mác, hoặc có dấu hiệu đã sử dụng đều không được hỗ trợ đổi trả theo chính sách này. Bạn có thể tham khảo chi tiết tại mục ""Điều kiện đổi trả hàng hóa"" trong chính sách của chúng tôi.","Xin chào! Để được đổi trả hàng tại MyKingdom, bạn cần đáp ứng các điều kiện sau:

1. Sản phẩm chưa qua sử dụng.
2. Sản phẩm còn nguyên bao bì, tem nhãn, seal của nhà sản xuất.
3. Mã barcode trên hộp không bị trầy xước, rách nát.
4. Cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom.

Nếu bạn đáp ứng được các điều kiện này, bạn có thể đổi trả hàng trong vòng 7 ngày kể từ ngày nhận hàng.","Chào bạn, tôi là EmpathAI và tôi có thể hỗ trợ thông tin chung về chính sách đổi trả của MyKingdom. Tuy nhiên, để được hỗ trợ về chi tiết điều kiện đổi trả, bạn vui lòng liên hệ tổng đài hỗ trợ qua số 1900 1208 hoặc truy cập email hotro@mykingdom.com.vn để nhân viên có thể hỗ trợ trực tiếp cho bạn."
7,bao_hanh_doi_tra,"Tôi mua hàng online, mang đến cửa hàng đổi có được không?","Có, khách hàng có thể mang sản phẩm đến bất kỳ cửa hàng nào trong hệ thống MyKingdom trên toàn quốc để được hỗ trợ đổi trả hoặc bảo hành.","Nếu bạn mua hàng online và muốn đổi hàng tại cửa hàng MyKingdom, bạn cần lưu ý một số điều sau:

- Sản phẩm phải còn trong thời gian đổi trả (7 ngày kể từ ngày nhận hàng).
- Sản phẩm phải còn nguyên bao bì, tem nhãn, seal của nhà sản xuất.
- Mã barcode trên hộp không bị trầy xước, rách nát.
- Bạn cần cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom.

Nếu sản phẩm đáp ứng các điều kiện trên, bạn có thể mang sản phẩm đến cửa hàng MyKingdom gần nhất để được hỗ trợ đổi trả. Tuy nhiên, bạn cần lưu ý rằng việc đổi trả hàng hóa sẽ được kiểm tra và xác minh bởi nhân viên cửa hàng, và nếu sản phẩm không đáp ứng các điều kiện trên, bạn sẽ không được đổi trả.

Nếu bạn không chắc chắn về quy trình đổi trả hoặc cần hỗ trợ thêm, bạn có thể liên hệ với tổng đài 1900 1208 hoặc email hotro@mykingdom.com.vn để được hỗ trợ.","Chào bạn, EmpathAI là trợ lý ảo và không thể hỗ trợ trực tiếp việc đổi hàng tại cửa hàng. Để đổi hàng, bạn vui lòng liên hệ tổng đài hỗ trợ đổi trả qua số 1900 1208 hoặc gửi email về hotro@mykingdom.com.vn để được nhân viên hỗ trợ hướng dẫn quy trình đổi hàng phù hợp với tình trạng hàng hóa của bạn. Cảm ơn bạn đã ủng hộ MyKingdom!","Xin chào! Tôi hiểu bạn muốn hỏi về việc đổi hàng khi mua online tại MyKingdom. Theo chính sách của chúng tôi, bạn có thể đổi hàng trong vòng 7 ngày kể từ ngày nhận hàng. Để được đổi hàng, sản phẩm phải chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal của nhà sản xuất và bạn phải cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom.

Nếu bạn đáp ứng được các điều kiện trên, bạn có thể mang hàng đến bất kỳ cửa hàng nào của MyKingdom để được hỗ trợ đổi hàng. Tuy nhiên, nếu bạn không thể đến cửa hàng, bạn có thể liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn để được hỗ trợ.

Hy vọng thông tin này hữu ích cho bạn!","Chào bạn, EmpathAI có thể hỗ trợ về chính sách đổi trả hàng hóa. Theo chính sách của MyKingdom, việc đổi hàng chỉ áp dụng trong vòng 7 ngày kể từ ngày nhận hàng, và sản phẩm phải còn nguyên bao bì, tem nhãn, seal của nhà sản xuất. Trường hợp của bạn không thuộc vào hạng này, EmpathAI không thể hỗ trợ đổi hàng trực tiếp tại cửa hàng. Bạn có thể liên hệ tổng đài hỗ trợ đổi trả qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để được hướng dẫn cụ thể về quy trình đổi trả."
8,bao_hanh_doi_tra,Tiền hoàn lại có bằng đúng số tiền tôi đã trả không?,Số tiền hoàn lại bằng đúng giá trị sản phẩm đã thanh toán sau khi trừ đi các khuyến mãi (nếu có).,"Không hoàn toàn đúng. Theo Chính sách của MyKingdom, tiền hoàn lại sẽ bằng đúng giá trị sản phẩm bạn đã thanh toán sau khi trừ đi các khuyến mãi (nếu có).","Chào bạn, EmpathAI là trợ lý ảo và không thể trực tiếp hỗ trợ kiểm tra và hoàn tiền cho đơn hàng của bạn. Để kiểm tra tình trạng hoàn tiền và số tiền nhận được, bạn vui lòng liên hệ tổng đài hỗ trợ đổi trả hàng hóa của MyKingdom qua số 1900 1208 hoặc gửi email về hotro@mykingdom.com.vn. Nhân viên hỗ trợ sẽ kiểm tra cho bạn.","Xin chào! Tôi hiểu bạn muốn hỏi về việc tiền hoàn lại có bằng đúng số tiền bạn đã trả không.

Theo chính sách của MyKingdom, số tiền hoàn lại sẽ bằng đúng giá trị sản phẩm bạn đã thanh toán sau khi trừ đi các khuyến mãi (nếu có). Điều này có nghĩa là bạn sẽ nhận được tiền hoàn lại đúng số tiền bạn đã trả, trừ đi bất kỳ khuyến mãi nào bạn đã sử dụng.

Nếu bạn có bất kỳ câu hỏi nào khác hoặc cần hỗ trợ thêm, xin vui lòng liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn.","Chào bạn, tôi là EmpathAI và tôi không có quyền truy cập vào thông tin tài khoản của bạn để kiểm tra chi tiết về số tiền hoàn tiền. Theo chính sách của MyKingdom, số tiền hoàn tiền sẽ bằng đúng giá trị sản phẩm đã thanh toán sau khi trừ đi các khuyến mãi (nếu có). Vui lòng liên hệ tổng đài hỗ trợ của chúng tôi qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để nhân viên có thể hỗ trợ bạn kiểm tra và hướng dẫn cụ thể về tình trạng hoàn tiền của đơn hàng của mình."
9,bao_hanh_doi_tra,Sản phẩm mua 10 ngày trước có được đổi trả không?,"Rất tiếc, chính sách đổi trả của MyKingdom chỉ áp dụng trong vòng 7 ngày kể từ ngày nhận hàng. Sản phẩm mua 10 ngày trước đã ngoài thời hạn đổi trả theo chính sách.",,"Chào bạn, EmpathAI là trợ lý ảo và không thể hỗ trợ trực tiếp về việc đổi trả hàng hóa. Theo chính sách đổi trả của MyKingdom, chỉ áp dụng trong vòng 7 ngày kể từ ngày nhận hàng. Nếu bạn đã quá thời hạn này, MyKingdom không thể hỗ trợ đổi trả. Bạn vui lòng liên hệ tổng đài hỗ trợ của MyKingdom qua số 1900 1208 hoặc email hotro@mykingdom.com.vn để được tư vấn cụ thể về tình trạng đơn hàng của bạn.","Xin chào! Tôi là EmpathAI, trợ lý CSKH của MyKingdom.

Để biết thông tin về việc đổi trả sản phẩm mua 10 ngày trước, tôi cần biết thêm một số thông tin từ bạn. Tuy nhiên, dựa trên chính sách của MyKingdom, tôi có thể trả lời như sau:

Nếu bạn muốn đổi trả sản phẩm, bạn cần đảm bảo rằng sản phẩm chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal của nhà sản xuất, và mã barcode trên hộp không bị trầy xước, rách nát. Bạn cũng cần cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom.

Theo chính sách của MyKingdom, khách hàng được quyền đổi hoặc trả hàng trong vòng 7 ngày kể từ ngày nhận hàng. Vì bạn đã mua sản phẩm 10 ngày trước, bạn có thể đổi trả sản phẩm nếu đáp ứng các điều kiện trên.

Nếu bạn cần thêm thông tin hoặc muốn đổi trả sản phẩm, vui lòng liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn. Chúng tôi sẵn sàng hỗ trợ bạn!","Chào bạn, theo chính sách đổi trả hàng hóa của MyKingdom, bạn chỉ được đổi trả trong vòng 7 ngày kể từ ngày nhận hàng và phải đảm bảo sản phẩm chưa qua sử dụng, còn nguyên bao bì, tem nhãn, seal của nhà sản xuất. Trường hợp của bạn đã quá thời hạn này nên không đủ điều kiện đổi trả. Vui lòng liên hệ tổng đài hỗ trợ để được tư vấn thêm về chính sách đổi trả hàng hóa. (Hotline: 1900 1208 hoặc email: hotro@mykingdom.com.vn)"
10,bao_hanh_doi_tra,"Tôi không có hóa đơn, có được đổi hàng không?","Rất tiếc, hóa đơn mua hàng hợp lệ tại MyKingdom là một trong các điều kiện bắt buộc để được đổi trả. Nếu không có hóa đơn, MyKingdom sẽ không thể hỗ trợ đổi trả theo chính sách.","Xin lỗi, nhưng theo chính sách của MyKingdom, để đổi hàng, khách hàng cần cung cấp hóa đơn mua hàng hợp lệ tại MyKingdom. Nếu bạn không có hóa đơn, chúng tôi không thể hỗ trợ đổi hàng.

Hãy liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn để được hỗ trợ thêm.","Chào bạn, EmpathAI không thể hỗ trợ đổi hàng khi không có hóa đơn gốc. Chính sách đổi trả của MyKingdom yêu cầu phải có hóa đơn mua hàng hợp lệ để xác minh. Bạn có thể liên hệ tổng đài hỗ trợ 1900 1208 hoặc email hotro@mykingdom.com.vn để được tư vấn cụ thể về tình trạng đơn hàng của mình.","Xin chào! Tôi hiểu rằng bạn muốn đổi hàng nhưng không có hóa đơn. Theo chính sách của MyKingdom, để được đổi hàng, bạn cần đáp ứng các điều kiện sau:

1. Sản phẩm chưa qua sử dụng.
2. Sản phẩm còn nguyên bao bì, tem nhãn, seal của nhà sản xuất.
3. Mã barcode trên hộp không bị trầy xước, rách nát.
4. Cung cấp đầy đủ hóa đơn mua hàng hợp lệ tại MyKingdom.

Nếu bạn không có hóa đơn, chúng tôi không thể hỗ trợ đổi hàng theo chính sách này. Tuy nhiên, bạn có thể liên hệ với chúng tôi qua hotline 1900 1208 hoặc email hotro@mykingdom.com.vn để được hỗ trợ và tư vấn thêm về các lựa chọn khác.","Chào bạn, tôi là EmpathAI, trợ lý ảo và không có quyền truy cập vào thông tin hóa đơn của bạn. Theo chính sách đổi trả hàng hóa của MyKingdom, để được đổi hàng, bạn cần cung cấp hóa đơn mua hàng hợp lệ. Vì vậy, bạn vui lòng liên hệ tổng đài hỗ trợ của chúng tôi qua số 1900 1208 hoặc gửi email về hotro@mykingdom.com.vn để được nhân viên hỗ trợ kiểm tra và hướng dẫn cụ thể về tình trạng đơn hàng của bạn."
